uid,monolayer1,monolayer2,IE_DFT
Nb1Te2-T1_Nb1Te2-T1,Nb1Te2-T1,Nb1Te2-T1,-0.38623481600000004
Re1S2-T1_Re1S2-T1,Re1S2-T1,Re1S2-T1,-0.419757083
W1S2-T1_W1S2-T1,W1S2-T1,W1S2-T1,-0.45327935
Ta1Cl2_Ta1Cl2,Ta1Cl2,Ta1Cl2,-0.408097164
Ta1S2_Ta1S2,Ta1S2,Ta1S2,-0.266720646
Ta1Se2_Ta1Se2,Ta1Se2,Ta1Se2,-0.252145748
Ta1Te2_Ta1Te2,Ta1Te2,Ta1Te2,-0.260890687
Ti1S2_Ti1S2,Ti1S2,Ti1S2,-0.36437246799999995
Ti1Se2_Ti1Se2,Ti1Se2,Ti1Se2,-0.319190282
Ti1Te2_Ti1Te2,Ti1Te2,Ti1Te2,-0.244858298
W1Cl2_W1Cl2,W1Cl2,W1Cl2,-0.269635626
W1S2_W1S2,W1S2,W1S2,-0.33959514
W1Se2_W1Se2,W1Se2,W1Se2,-0.310445342
W1Te2_W1Te2,W1Te2,W1Te2,-0.291497974
Zn1O1_Zn1O1,Zn1O1,Zn1O1,-0.253603237
B1N1_B1N1,B1N1,B1N1,-0.52512
